run_id,cell_id,method,dataset,seed,phase,experience_index,start_monotonic_s,end_monotonic_s,duration_s,allocated_current_bytes,allocated_peak_bytes,reserved_current_bytes,reserved_peak_bytes,quota_bytes,external_reservation_bytes,proc_rss_bytes,children_rss_bytes,proc_pss_bytes,swap_used_bytes,sampled_rss_peak_bytes,sampled_children_rss_peak_bytes,sample_interval_s,sample_count,missing_reason,notes
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,evaluation,4,147470.990993139,147477.608676897,6.617683757998748,70712320,114230272,159383552,159383552,8589934592,0,2097729536,0,1877555200,0,2103668736,0,0.1,39,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,resource_transition,5,147477.641153934,147477.641667795,0.0005138609849382192,70712320,70712320,159383552,159383552,8589934592,0,2097733632,0,1877559296,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,training,5,147477.673266889,147494.678303231,17.00503634198685,70712320,121897984,159383552,159383552,8589934592,0,2098667520,0,1878493184,0,2098753536,0,0.1,106,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,evaluation,5,147494.736860149,147502.134215023,7.397354874003213,70712320,114230272,159383552,159383552,8589934592,0,2102861824,0,1882687488,0,2104467456,0,0.1,43,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,resource_transition,6,147502.1871847,147502.187668561,0.0004838610184378922,70712320,70712320,159383552,159383552,8589934592,0,2102865920,0,1882691584,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,training,6,147502.217706312,147518.957842867,16.74013655501767,70712320,121897984,159383552,159383552,8589934592,0,2099048448,0,1878874112,0,2099630080,0,0.1,104,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,evaluation,6,147519.03761818,147527.224324445,8.186706264998065,70712320,114230272,159383552,159383552,8589934592,0,2103635968,0,1883461632,0,2105208832,0,0.1,48,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,resource_transition,7,147527.253946278,147527.254389204,0.0004429259861353785,70712320,70712320,159383552,159383552,8589934592,0,2103635968,0,1883461632,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,training,7,147527.284539379,147538.938414481,11.653875101997983,70712320,121897984,159383552,159383552,8589934592,0,2100154368,0,1879980032,0,2102702080,0,0.1,70,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,evaluation,7,147538.998114894,147548.011374767,9.013259872997878,70712320,114230272,159383552,159383552,8589934592,0,2106753024,0,1886578688,0,2106761216,0,0.1,53,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,resource_transition,8,147548.042560888,147548.043022842,0.00046195401228033006,70712320,70712320,159383552,159383552,8589934592,0,2106753024,0,1886578688,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,training,8,147548.091240723,147563.869834517,15.778593794006156,70712320,121897984,159383552,159383552,8589934592,0,2100031488,0,1879857152,0,2107772928,0,0.1,98,,
effectiveness_v3_20260918T040734Z_93bd9bba,dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_core50_nc_rep0,core50_nc,0,evaluation,8,147563.929183888,147573.965966374,10.036782486015,70712320,114230272,159383552,159383552,8589934592,0,2104332288,0,1884157952,0,2108354560,0,0.1,59,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,setup,,147581.611302183,147581.990471395,0.3791692119848449,1395712,1395712,2097152,2097152,8589934592,0,1348227072,0,1128167424,0,1316646912,0,0.1,1,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,resource_transition,0,147582.01932247,147582.019764331,0.0004418609896674752,1395712,1395712,2097152,2097152,8589934592,0,1348329472,0,1128187904,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,training,0,147582.041679257,147610.34850319,28.306823933002306,70712320,95452672,117440512,117440512,8589934592,0,2038272000,0,1818114048,0,2036338688,0,0.1,176,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,evaluation,0,147610.413535765,147612.43286186,2.0193260950036347,70712320,114230272,159383552,159383552,8589934592,0,2085675008,0,1865525248,0,2090602496,0,0.1,12,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,resource_transition,1,147612.462152989,147612.462675989,0.00052299999515526,70712320,70712320,159383552,159383552,8589934592,0,2085691392,0,1865545728,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,training,1,147612.49246572,147629.967226025,17.474760305020027,70712320,121897984,159383552,159383552,8589934592,0,2087583744,0,1867425792,0,2087424000,0,0.1,106,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,evaluation,1,147630.056649833,147632.923328619,2.866678786027478,70712320,114230272,159383552,159383552,8589934592,0,2091868160,0,1871710208,0,2092032000,0,0.1,17,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,resource_transition,2,147632.953546175,147632.954061555,0.0005153800011612475,70712320,70712320,159383552,159383552,8589934592,0,2091868160,0,1871710208,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,training,2,147632.984378537,147646.878102421,13.893723884015344,70712320,121897984,159383552,159383552,8589934592,0,2088353792,0,1868195840,0,2092175360,0,0.1,84,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,evaluation,2,147646.956490636,147651.357091601,4.400600965018384,70712320,114230272,159383552,159383552,8589934592,0,2088361984,0,1868204032,0,2095411200,0,0.1,27,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,resource_transition,3,147651.392730248,147651.393241174,0.0005109260091558099,70712320,70712320,159383552,159383552,8589934592,0,2088366080,0,1868208128,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,training,3,147651.425643979,147669.137930407,17.712286428024527,70712320,121897984,159383552,159383552,8589934592,0,2096500736,0,1876342784,0,2097090560,0,0.1,109,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,evaluation,3,147669.198529601,147674.290726175,5.092196573998081,70712320,114230272,159383552,159383552,8589934592,0,2101178368,0,1881020416,0,2103291904,0,0.1,30,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,resource_transition,4,147674.321114739,147674.321591128,0.0004763890174217522,70712320,70712320,159383552,159383552,8589934592,0,2101178368,0,1881020416,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,training,4,147674.353549109,147688.55873671,14.20518760100822,70712320,121897984,159383552,159383552,8589934592,0,2097340416,0,1877182464,0,2101207040,0,0.1,88,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,evaluation,4,147688.616685375,147695.0112951,6.394609725015471,70712320,114230272,159383552,159383552,8589934592,0,2102026240,0,1881868288,0,2103214080,0,0.1,38,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,resource_transition,5,147695.042362138,147695.042827443,0.0004653049982152879,70712320,70712320,159383552,159383552,8589934592,0,2102030336,0,1881872384,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,training,5,147695.074282287,147706.985402065,11.911119778000284,70712320,121897984,159383552,159383552,8589934592,0,2099523584,0,1879365632,0,2099109888,0,0.1,73,,
effectiveness_v3_20260918T041110Z_7da6f0cf,dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_core50_nc_rep1,core50_nc,0,evaluation,5,147707.039005166,147714.026879394,6.987874227983411,70712320,114230272,159383552,159383552,8589934592,0,2103500800,0,1883342848,0,2104688640,0,0.1,41,,
