cell_id,group,dataset,method,seed,variant,status,run_id,attempt_n,elapsed_s
dev/core50_nc/static_search_tight/search_tight_core50_nc_b256_r2000_q160/0,static_search_tight,core50_nc,search_tight_core50_nc_b256_r2000_q160,0,static_search_tight,cuda_oom,effectiveness_v3_20260918T062648Z_a187fa33,1,
dev/core50_nc/static_search_loose/search_loose_core50_nc_b16_r200_q320/0,static_search_loose,core50_nc,search_loose_core50_nc_b16_r200_q320,0,static_search_loose,completed,effectiveness_v3_20260918T062705Z_ce1e6152,1,
dev/core50_nc/static_search_loose/search_loose_core50_nc_b16_r2000_q320/0,static_search_loose,core50_nc,search_loose_core50_nc_b16_r2000_q320,0,static_search_loose,completed,effectiveness_v3_20260918T063035Z_a97c2d26,1,
dev/core50_nc/static_search_loose/search_loose_core50_nc_b64_r200_q320/0,static_search_loose,core50_nc,search_loose_core50_nc_b64_r200_q320,0,static_search_loose,completed,effectiveness_v3_20260918T063410Z_35400e3d,1,
dev/core50_nc/static_search_loose/search_loose_core50_nc_b64_r2000_q320/0,static_search_loose,core50_nc,search_loose_core50_nc_b64_r2000_q320,0,static_search_loose,completed,effectiveness_v3_20260918T063618Z_0d2342fd,1,
dev/core50_nc/static_search_loose/search_loose_core50_nc_b256_r200_q320/0,static_search_loose,core50_nc,search_loose_core50_nc_b256_r200_q320,0,static_search_loose,cuda_oom,effectiveness_v3_20260918T063833Z_0e8cd303,1,
dev/core50_nc/static_search_loose/search_loose_core50_nc_b256_r2000_q320/0,static_search_loose,core50_nc,search_loose_core50_nc_b256_r2000_q320,0,static_search_loose,cuda_oom,effectiveness_v3_20260918T063841Z_ee57fce9,1,
dev/splitcifar100/q_loose_verify/loose_splitcifar100_q320/0,q_loose_verify,splitcifar100,loose_splitcifar100_q320,0,q_loose_verify,completed,effectiveness_v3_20260918T063857Z_99a791e7,1,
dev/splitcifar100/plugin_loose/plugin_loose_splitcifar100_q320/0,plugin_loose,splitcifar100,plugin_loose_splitcifar100_q320,0,plugin_loose,completed,effectiveness_v3_20260918T064028Z_cbe2cbf1,1,
dev/splitcifar100/l_cal/lcal_splitcifar100_q320_rep0/0,l_cal,splitcifar100,lcal_splitcifar100_q320_rep0,0,l_cal,completed,effectiveness_v3_20260918T064650Z_7d7f8e57,1,
dev/splitcifar100/l_cal/lcal_splitcifar100_q320_rep1/0,l_cal,splitcifar100,lcal_splitcifar100_q320_rep1,0,l_cal,completed,effectiveness_v3_20260918T064813Z_08eabb50,1,
dev/splitcifar100/static_search_tight/search_tight_splitcifar100_b16_r200_q160/0,static_search_tight,splitcifar100,search_tight_splitcifar100_b16_r200_q160,0,static_search_tight,completed,effectiveness_v3_20260918T064943Z_874b24ea,1,
dev/splitcifar100/static_search_tight/search_tight_splitcifar100_b16_r2000_q160/0,static_search_tight,splitcifar100,search_tight_splitcifar100_b16_r2000_q160,0,static_search_tight,completed,effectiveness_v3_20260918T065109Z_f4622985,1,
dev/splitcifar100/static_search_tight/search_tight_splitcifar100_b64_r200_q160/0,static_search_tight,splitcifar100,search_tight_splitcifar100_b64_r200_q160,0,static_search_tight,cuda_oom,effectiveness_v3_20260918T065233Z_9139655f,1,
dev/splitcifar100/static_search_tight/search_tight_splitcifar100_b64_r2000_q160/0,static_search_tight,splitcifar100,search_tight_splitcifar100_b64_r2000_q160,0,static_search_tight,cuda_oom,effectiveness_v3_20260918T065241Z_e0d38c65,1,
dev/splitcifar100/static_search_tight/search_tight_splitcifar100_b256_r200_q160/0,static_search_tight,splitcifar100,search_tight_splitcifar100_b256_r200_q160,0,static_search_tight,cuda_oom,effectiveness_v3_20260918T065250Z_18890833,1,
