experiment,variant,n_expected,n_completed,P_mean,P_sd,S_mean,S_sd,online_s_mean,online_s_sd
L_preference,core50_nc_latency,3,3,0.6111733139586348,0.016547953634425728,0.4686522734194724,0.027069808218570163,110.91119172900169,4.415855192297039
L_preference,core50_nc_ps,3,3,0.6118609122935694,0.017963400962861992,0.46768538059858517,0.012971022074214546,109.99791669833212,0.32011855603376116
L_prefetch,core50_nc_off,3,3,0.6142051350066463,0.007280294041991699,0.46622160583961364,0.01307144064764454,125.6818249613328,6.28752518059961
L_prefetch,core50_nc_on,3,3,0.6142051350066463,0.007280294041991699,0.46622160583961364,0.01307144064764454,175.00027442533124,6.4199812814371
L_sensitivity,splitcifar100_thr0.025,3,3,0.4761,0.01644353976490466,0.5374444444444444,0.016045075395411692,25.934873774000152,0.46868700365070187
L_sensitivity,splitcifar100_thr0.1,3,3,0.4700333333333333,0.005057996968497859,0.5404814814814815,0.0054888588993032734,26.98572796233202,1.4726826382023919
L_sensitivity,core50_nc_thr0.025,3,3,0.6058271185167111,0.020020907496720454,0.46213449629067,0.02993524967132239,114.81701374600136,5.596205442845842
L_sensitivity,core50_nc_thr0.1,3,3,0.6132961050632982,0.03135300592164559,0.4563769759845403,0.046306622446842326,112.17620726933335,3.7073283940836865
L_endless,endless_ic_er_static_s0,1,1,0.9614446079706335,,0.8883013003914576,,26.497939335997216,
L_endless,endless_ic_orion_formula_s0,1,1,0.9925532233684343,,0.7912025837305499,,16.78104211000027,
L_endless,endless_il_er_static_s0,1,1,0.9885748301919518,,1.0034348205549883,,91.15488980500231,
L_endless,endless_il_orion_formula_s0,1,1,0.9916535769662836,,0.9957089778943418,,86.96747289099585,
L_endless,endless_wc_er_static_s0,1,1,0.9830635799354855,,0.9897945261723637,,102.64231023199682,
L_endless,endless_wc_orion_formula_s0,1,1,0.9751749872901894,,0.9959537328176744,,95.15597624400107,
L_endless,endless_ic_er_static_s1,1,1,0.9285418873379289,,0.8191104490888005,,23.019155377995048,
L_endless,endless_ic_orion_formula_s1,1,1,0.9779116465863453,,0.9184051922950299,,19.85098281200044,
L_endless,endless_il_er_static_s1,1,1,0.9876768914871155,,0.9915279731242423,,89.02788569100085,
L_endless,endless_il_orion_formula_s1,1,1,0.9896146629592562,,1.0041750300172245,,86.90621105000173,
L_endless,endless_wc_er_static_s1,1,1,0.9801153958078587,,0.9975447467651937,,94.2940101130007,
L_endless,endless_wc_orion_formula_s1,1,1,0.9830476686328957,,1.00129694676799,,92.18328011499398,
L_endless,endless_ic_er_static_s2,1,1,0.9998070987654322,,0.7595432850603852,,24.364133701994433,
L_endless,endless_ic_orion_formula_s2,1,1,0.9737654320987654,,0.7969247144106198,,16.880510616996617,
L_endless,endless_il_er_static_s2,1,1,0.9777482811753646,,1.0174413948735466,,89.80862340800377,
L_endless,endless_il_orion_formula_s2,1,1,0.9890539563214492,,1.001529670984049,,85.70742733600491,
L_endless,endless_wc_er_static_s2,1,1,0.9761768250231352,,0.9909699401839333,,95.19042542600073,
L_endless,endless_wc_orion_formula_s2,1,1,0.8905676061256551,,1.107057440831926,,86.76818752899999,
L_selected,splitcifar100,3,3,0.4222666666666667,0.02038684216187814,0.6941111111111111,0.027439720691088264,25.83869369199965,0.10770994974972228
