config,experiment,dataset,variant,seed,status,run_id,P,S,online_s
configs/light24/preference/core50_nc_latency_s0.yaml,L_preference,core50_nc,core50_nc_latency,0,completed,20260914T134911Z_light24_58f9456d,0.6187063508857787,0.4489917617522179,116.00818460500159
configs/light24/preference/core50_nc_ps_s0.yaml,L_preference,core50_nc,core50_nc_ps,0,completed,20260914T135113Z_light24_6381134e,0.6092347408873254,0.4610368434169616,110.11814931700064
configs/light24/preference/core50_nc_latency_s1.yaml,L_preference,core50_nc,core50_nc_latency,1,completed,20260914T135310Z_light24_cff03777,0.6226145167404639,0.4574379877345377,108.23910404599883
configs/light24/preference/core50_nc_ps_s1.yaml,L_preference,core50_nc,core50_nc_ps,1,completed,20260914T135504Z_light24_e393b8f0,0.5953551542642457,0.48263269219276694,110.24051143599354
configs/light24/preference/core50_nc_latency_s2.yaml,L_preference,core50_nc,core50_nc_latency,2,completed,20260914T135659Z_light24_ba5385fe,0.592199074249662,0.4995270707716617,108.48628653600463
configs/light24/preference/core50_nc_ps_s2.yaml,L_preference,core50_nc,core50_nc_ps,2,completed,20260914T135854Z_light24_6d1adec2,0.6309928417291372,0.459386606186027,109.63508934200217
configs/light24/prefetch/core50_nc_off_s0.yaml,L_prefetch,core50_nc,core50_nc_off,0,completed,20260914T140049Z_light24_6c6dd7b2,0.6062514233870816,0.4795712387440123,119.13865810700372
configs/light24/prefetch/core50_nc_on_s0.yaml,L_prefetch,core50_nc,core50_nc_on,0,completed,20260914T140254Z_light24_79271486,0.6062514233870816,0.4795712387440123,171.74657865599875
configs/light24/prefetch/core50_nc_off_s1.yaml,L_prefetch,core50_nc,core50_nc_off,1,completed,20260914T140551Z_light24_84cc10e8,0.6158247604622925,0.45344736018516585,126.22885364799731
configs/light24/prefetch/core50_nc_on_s1.yaml,L_prefetch,core50_nc,core50_nc_on,1,completed,20260914T140803Z_light24_47b296cd,0.6158247604622925,0.45344736018516585,182.39567997500126
configs/light24/prefetch/core50_nc_off_s2.yaml,L_prefetch,core50_nc,core50_nc_off,2,completed,20260914T141112Z_light24_ecca3b0e,0.6205392211705648,0.4656462185896628,131.67796312899736
configs/light24/prefetch/core50_nc_on_s2.yaml,L_prefetch,core50_nc,core50_nc_on,2,completed,20260914T141330Z_light24_bc97511c,0.6205392211705648,0.4656462185896628,170.85856464499375
configs/light24/sensitivity/splitcifar100_thr0.025_s0.yaml,L_sensitivity,splitcifar100,splitcifar100_thr0.025,0,completed,20260914T141627Z_light24_4ea23c88,0.4574,0.5547777777777778,26.352228081996145
configs/light24/sensitivity/splitcifar100_thr0.1_s0.yaml,L_sensitivity,splitcifar100,splitcifar100_thr0.1,0,completed,20260914T141659Z_light24_ac5b26f0,0.46419999999999995,0.5448888888888889,28.64573580599972
configs/light24/sensitivity/splitcifar100_thr0.025_s1.yaml,L_sensitivity,splitcifar100,splitcifar100_thr0.025,1,completed,20260914T141734Z_light24_876493db,0.4883,0.5231111111111111,26.02457397100079
configs/light24/sensitivity/splitcifar100_thr0.1_s1.yaml,L_sensitivity,splitcifar100,splitcifar100_thr0.1,1,completed,20260914T141806Z_light24_0ff94f8d,0.47319999999999995,0.5343333333333333,26.47521523299656
configs/light24/sensitivity/splitcifar100_thr0.025_s2.yaml,L_sensitivity,splitcifar100,splitcifar100_thr0.025,2,completed,20260914T141838Z_light24_6832daad,0.48260000000000003,0.5344444444444444,25.42781926900352
configs/light24/sensitivity/splitcifar100_thr0.1_s2.yaml,L_sensitivity,splitcifar100,splitcifar100_thr0.1,2,completed,20260914T141909Z_light24_87bdbc4e,0.4727,0.5422222222222222,25.83623284799978
configs/light24/sensitivity/core50_nc_thr0.025_s0.yaml,L_sensitivity,core50_nc,core50_nc_thr0.025,0,completed,20260914T141940Z_light24_5e55f301,0.6081698926330119,0.4567365896137887,118.55159683500096
configs/light24/sensitivity/core50_nc_thr0.1_s0.yaml,L_sensitivity,core50_nc,core50_nc_thr0.1,0,completed,20260914T142145Z_light24_923a8136,0.6319417891882894,0.43039641160645414,115.86025670199888
configs/light24/sensitivity/core50_nc_thr0.025_s1.yaml,L_sensitivity,core50_nc,core50_nc_thr0.025,1,completed,20260914T142347Z_light24_02660d03,0.6245735700479316,0.43526545805857664,117.51668861500366
configs/light24/sensitivity/core50_nc_thr0.1_s1.yaml,L_sensitivity,core50_nc,core50_nc_thr0.1,1,completed,20260914T142550Z_light24_eb8395b1,0.6308482481720736,0.4288942920309655,108.44603037300112
configs/light24/sensitivity/core50_nc_thr0.025_s2.yaml,L_sensitivity,core50_nc,core50_nc_thr0.025,2,completed,20260914T142745Z_light24_365de998,0.5847378928691899,0.4944014411996446,108.38275578799949
configs/light24/sensitivity/core50_nc_thr0.1_s2.yaml,L_sensitivity,core50_nc,core50_nc_thr0.1,2,completed,20260914T142938Z_light24_83ef74d5,0.5770982778295317,0.5098402243162012,112.22233473300003
configs/light24/endless/endless_ic_er_static_s0.yaml,L_endless,endless_ic,endless_ic_er_static_s0,0,completed,20260914T143136Z_light24_4cae5bfa,0.9614446079706335,0.8883013003914576,26.497939335997216
