experiment,variant,dataset,seed,status,run_id,P,S,online_s,learning_s_sum,evaluation_s_sum,controller_s_sum,reconfigure_s_sum,prefetch_wait_sum,prefetch_batches_sum,replay_visits_sum,new_visits_sum,memory_mib_peak,proc_rss_peak_mib,gpu_alloc_peak_mib,gpu_global_peak_mib,swap_used_peak_mib,urge_max,urge_mean,applied_batch_min,applied_batch_max,applied_replay_min,applied_replay_max,n_mode_switches,guard_nonok
L_budget,cifar100_orion_formula_512mib,splitcifar100,2,completed,20260914T134838Z_light24_4f3174c7,0.4673999999999999,0.5492222222222222,27.284400819997245,22.552124669979094,4.286506940006802,0.0004823769922950305,0.0037638750072801486,0.0,3319.0,43267.0,50000.0,125.20703125,2108.94921875,125.20703125,1372.5625,115.1796875,0.000250710073349742,0.00023952102067471088,15.0,15.0,182.0,198.0,0.0,0.0
L_preference,core50_nc_latency,core50_nc,0,completed,20260914T134911Z_light24_58f9456d,0.6187063508857787,0.4489917617522179,116.0081846050016,69.38931794998643,46.17796293499123,0.0005941299968981184,0.005661008995957673,0.0,7898.0,92307.0,119894.0,125.1767578125,1976.3671875,125.1767578125,1372.5625,115.1796875,0.000124042875431687,3.9772926894174205e-05,15.0,15.0,184.0,198.0,0.0,0.0
L_preference,core50_nc_ps,core50_nc,0,completed,20260914T135113Z_light24_6381134e,0.6092347408873254,0.4610368434169616,110.11814931700064,66.54653957600385,43.13689180400979,0.0004992789981770329,0.004671599999710452,0.0,7898.0,93266.0,119894.0,125.1767578125,1978.93359375,125.1767578125,1372.5625,115.1484375,0.029295760196982722,0.02292220379474455,15.0,15.0,191.0,199.0,0.0,0.0
L_preference,core50_nc_latency,core50_nc,1,completed,20260914T135310Z_light24_cff03777,0.6226145167404639,0.4574379877345377,108.23910404599884,64.65683391500352,43.1524236169862,0.0004774270055349916,0.005088603000331204,0.0,7898.0,92307.0,119894.0,125.1767578125,1980.0078125,125.1767578125,1372.5625,115.1171875,7.5559849978392e-05,3.00933033812885e-05,15.0,15.0,184.0,198.0,0.0,0.0
L_preference,core50_nc_ps,core50_nc,1,completed,20260914T135504Z_light24_e393b8f0,0.5953551542642457,0.4826326921927669,110.24051143599354,66.6212999190102,43.18216032700002,0.0008620589869678952,0.00486396601627348,0.0,7898.0,93266.0,119894.0,125.1767578125,1977.99609375,125.1767578125,1372.5625,115.1015625,0.02995855914029548,0.02294339296107763,15.0,15.0,191.0,199.0,0.0,0.0
L_preference,core50_nc_latency,core50_nc,2,completed,20260914T135659Z_light24_ba5385fe,0.592199074249662,0.4995270707716617,108.48628653600464,65.11534479299735,42.93864008699893,0.0004298249987186864,0.005060207986389287,0.0,7898.0,92307.0,119894.0,125.1767578125,1982.01953125,125.1767578125,1372.5625,115.1015625,8.140112111748714e-05,3.105597469855317e-05,15.0,15.0,184.0,198.0,0.0,0.0
L_preference,core50_nc_ps,core50_nc,2,completed,20260914T135854Z_light24_6d1adec2,0.6309928417291372,0.459386606186027,109.63508934200216,65.62042942400149,43.579607156003476,0.00044966398854739964,0.004913801014481578,0.0,7898.0,93209.0,119894.0,125.1767578125,1978.98828125,125.1767578125,1372.5625,115.09375,0.027455422042478524,0.022588741337750504,15.0,15.0,191.0,199.0,0.0,0.0
L_prefetch,core50_nc_off,core50_nc,0,completed,20260914T140049Z_light24_6c6dd7b2,0.6062514233870816,0.4795712387440123,119.13865810700372,73.73864251500345,44.96440208599233,,,0.0,7498.0,92336.0,119894.0,129.27880859375,1988.09375,129.27880859375,1420.5625,115.06640625,,,,,,,,
L_prefetch,core50_nc_on,core50_nc,0,completed,20260914T140254Z_light24_79271486,0.6062514233870816,0.4795712387440123,171.74657865599875,126.38251499798935,44.91922109200095,,,0.24594475529011048,7498.0,92336.0,119894.0,129.27880859375,1996.3046875,129.27880859375,1420.5625,115.04296875,,,,,,,,
L_prefetch,core50_nc_off,core50_nc,1,completed,20260914T140551Z_light24_84cc10e8,0.6158247604622925,0.4534473601851658,126.22885364799733,80.07488670900784,45.709179523000785,,,0.0,7498.0,92336.0,119894.0,129.27880859375,1989.51953125,129.27880859375,1420.5625,115.015625,,,,,,,,
L_prefetch,core50_nc_on,core50_nc,1,completed,20260914T140803Z_light24_47b296cd,0.6158247604622925,0.4534473601851658,182.3956799750013,135.43377234700893,46.51647114300431,,,0.3804847376159156,7498.0,92336.0,119894.0,129.27880859375,1992.99609375,129.27880859375,1420.5625,114.984375,,,,,,,,
L_prefetch,core50_nc_off,core50_nc,2,completed,20260914T141112Z_light24_ecca3b0e,0.6205392211705648,0.4656462185896628,131.67796312899736,84.6370618479923,46.57607444298628,,,0.0,7498.0,92336.0,119894.0,129.27880859375,1987.62109375,129.27880859375,1420.5625,114.953125,,,,,,,,
L_prefetch,core50_nc_on,core50_nc,2,completed,20260914T141330Z_light24_bc97511c,0.6205392211705648,0.4656462185896628,170.85856464499375,125.61351500899764,44.80822743399767,,,0.2411746501165905,7498.0,92336.0,119894.0,129.27880859375,1996.05078125,129.27880859375,1420.5625,114.953125,,,,,,,,
L_sensitivity,splitcifar100_thr0.025,splitcifar100,0,completed,20260914T141627Z_light24_4ea23c88,0.4574,0.5547777777777778,26.352228081996145,21.726672205986688,4.176802802001475,0.000512963997607585,0.003183020991855301,0.0,3319.0,43690.0,50000.0,125.20703125,2108.35546875,125.20703125,1372.5625,114.953125,0.00024282056851014712,0.0002341622565361854,15.0,15.0,191.0,199.0,0.0,0.0
L_sensitivity,splitcifar100_thr0.1,splitcifar100,0,completed,20260914T141659Z_light24_ac5b26f0,0.4641999999999999,0.5448888888888889,28.64573580599972,23.911322804997326,4.267249235970667,0.0004943300082231872,0.00434915600635577,0.0,3391.0,43543.0,50000.0,125.20703125,2110.078125,125.20703125,1372.5625,114.953125,0.00026611012588607035,0.0002482913654577799,14.0,15.0,166.0,196.0,0.0,0.0
L_sensitivity,splitcifar100_thr0.025,splitcifar100,1,completed,20260914T141734Z_light24_876493db,0.4883,0.5231111111111111,26.02457397100079,21.45896143597929,4.112553097002092,0.0005495639852597378,0.0033065269963117316,0.0,3319.0,43690.0,50000.0,125.20703125,2109.25390625,125.20703125,1372.5625,114.953125,0.0002459141536498485,0.0002322418009989982,15.0,15.0,191.0,199.0,0.0,0.0
L_sensitivity,splitcifar100_thr0.1,splitcifar100,1,completed,20260914T141806Z_light24_0ff94f8d,0.4731999999999999,0.5343333333333333,26.47521523299656,21.66567112400662,4.356141141994158,0.0004995190029148944,0.004581389992381446,0.0,3391.0,43543.0,50000.0,125.20703125,2108.9765625,125.20703125,1372.5625,114.953125,0.00024756617333963015,0.0002326770758549201,14.0,15.0,166.0,196.0,0.0,0.0
L_sensitivity,splitcifar100_thr0.025,splitcifar100,2,completed,20260914T141838Z_light24_6832daad,0.4826,0.5344444444444444,25.42781926900352,20.914612676016986,4.067439914972056,0.0004680399943026714,0.0033249010011786595,0.0,3319.0,43690.0,50000.0,125.20703125,2109.33984375,125.20703125,1372.5625,114.953125,0.00024176785662246748,0.00022925528906333478,15.0,15.0,191.0,199.0,0.0,0.0
L_sensitivity,splitcifar100_thr0.1,splitcifar100,2,completed,20260914T141909Z_light24_87bdbc4e,0.4727,0.5422222222222222,25.83623284799978,21.293351885993616,4.0895738049875945,0.0004913130032946356,0.004357180012448225,0.0,3391.0,43543.0,50000.0,125.20703125,2109.28515625,125.20703125,1372.5625,118.86328125,0.00024253980586716958,0.00023079491158154624,14.0,15.0,166.0,196.0,0.0,0.0
L_sensitivity,core50_nc_thr0.025,core50_nc,0,completed,20260914T141940Z_light24_5e55f301,0.6081698926330119,0.4567365896137887,118.55159683500096,72.52690245799022,45.579410086007556,0.0006489930019597523,0.004976287993486039,0.0,7898.0,92769.0,119894.0,125.1767578125,1978.484375,125.1767578125,1372.5625,118.86328125,0.0022746203226753307,0.0010838261836867461,15.0,15.0,192.0,199.0,0.0,0.0
L_sensitivity,core50_nc_thr0.1,core50_nc,0,completed,20260914T142145Z_light24_923a8136,0.6319417891882894,0.4303964116064541,115.86025670199888,69.72378605100675,45.69003339900519,0.0004963230021530762,0.005909662999329157,0.0,8012.0,92339.0,119894.0,125.1767578125,1976.4453125,125.1767578125,1372.5625,118.86328125,0.0018463507764428352,0.0009785881215743054,14.0,15.0,170.0,196.0,0.0,0.0
L_sensitivity,core50_nc_thr0.025,core50_nc,1,completed,20260914T142347Z_light24_02660d03,0.6245735700479316,0.4352654580585766,117.51668861500366,71.77576576600404,45.29000483701384,0.0004926659967168234,0.005056812988186721,0.0,7898.0,92769.0,119894.0,125.1767578125,1978.84765625,125.1767578125,1372.5625,118.86328125,0.0020395318457869494,0.0010464164952789627,15.0,15.0,192.0,199.0,0.0,0.0
L_sensitivity,core50_nc_thr0.1,core50_nc,1,completed,20260914T142550Z_light24_eb8395b1,0.6308482481720736,0.4288942920309655,108.44603037300112,64.91287306599406,43.10423133800214,0.00047921099758241326,0.0055715330090606585,0.0,8012.0,92339.0,119894.0,125.1767578125,1977.08984375,125.1767578125,1372.5625,118.86328125,0.0015690963613894488,0.0008477663914788077,14.0,15.0,170.0,196.0,0.0,0.0
L_sensitivity,core50_nc_thr0.025,core50_nc,2,completed,20260914T142745Z_light24_365de998,0.5847378928691899,0.4944014411996446,108.38275578799949,64.58806092801387,43.361735264988965,0.00045242998749017715,0.004661812003178056,0.0,7898.0,92769.0,119894.0,125.1767578125,1975.41015625,125.1767578125,1372.5625,118.86328125,0.00153199727710987,0.0008394430842479192,15.0,15.0,192.0,199.0,0.0,0.0
L_sensitivity,core50_nc_thr0.1,core50_nc,2,completed,20260914T142938Z_light24_83ef74d5,0.5770982778295317,0.5098402243162012,112.22233473300004,67.71358787699864,44.06103702200926,0.0005005110069760121,0.005525933003809769,0.0,8012.0,92339.0,119894.0,125.1767578125,1974.07421875,125.1767578125,1372.5625,118.86328125,0.0015097082008659233,0.000905623657298703,14.0,15.0,170.0,196.0,0.0,0.0
L_endless,endless_ic_er_static_s0,endless_ic,0,completed,20260914T143136Z_light24_4cae5bfa,0.9614446079706336,0.8883013003914576,26.497939335997216,20.64441971598717,5.6758504930039635,,,0.0,1195.0,9576.0,19092.0,129.251953125,1929.6875,129.251953125,1372.5625,152.328125,,,,,,,,
L_endless,endless_ic_orion_formula_s0,endless_ic,0,completed,20260914T143208Z_light24_9f9627b7,0.9925532233684344,0.7912025837305499,16.78104211000027,12.634598934993846,3.9597620770000503,0.0004504269963945262,0.0015996919973986223,0.0,1236.0,9486.0,19092.0,125.150390625,1931.765625,125.150390625,1372.5625,182.671875,0.00045445633638529576,0.00031164369409019966,15.0,15.0,194.0,198.0,0.0,0.0
L_endless,endless_il_er_static_s0,endless_il,0,completed,20260914T143231Z_light24_d5e9bc63,0.9885748301919518,1.0034348205549883,91.15488980500233,71.94342412900733,18.991562459996203,,,0.0,4445.0,54752.0,71079.0,129.251953125,1941.28515625,129.251953125,1372.5625,274.80078125,,,,,,,,
L_endless,endless_il_orion_formula_s0,endless_il,0,completed,20260914T143410Z_light24_0d0e3d60,0.9916535769662836,0.9957089778943418,86.96747289099585,71.91425329800404,14.821549796994077,0.0002829589939210564,0.0021848319956916384,0.0,4683.0,54909.0,71079.0,125.150390625,1970.58203125,125.150390625,1372.5625,408.8984375,0.00657227099210232,0.004566503944431127,15.0,15.0,192.0,198.0,0.0,0.0
L_endless,endless_wc_er_static_s0,endless_wc,0,completed,20260914T143545Z_light24_b1cc561d,0.9830635799354857,0.9897945261723636,102.64231023199682,81.60699689899775,20.809617823004373,,,0.0,4642.0,57184.0,74241.0,129.251953125,1971.06640625,129.251953125,1372.5625,503.87890625,,,,,,,,
