run_id,cell_id,method,dataset,seed,experience_index,learning_s,prefetch_produce_s,prefetch_wait_s,blocked_s,prefetch_enabled,supply_wait_ratio
effectiveness_v3_20260918T131308Z_e7f97314,A/core50_nc/tight/R11/1/default,R11,core50_nc,1,2,18.639281954005128,10.526842044026125,0.0,10.526842044026125,False,0.5647665006625517
effectiveness_v3_20260918T131308Z_e7f97314,A/core50_nc/tight/R11/1/default,R11,core50_nc,1,3,19.38794838899048,10.755661785660777,0.0,10.755661785660777,False,0.5547601824527457
effectiveness_v3_20260918T131308Z_e7f97314,A/core50_nc/tight/R11/1/default,R11,core50_nc,1,4,19.567954902013298,10.717282747646095,0.0,10.717282747646095,False,0.5476955972820349
effectiveness_v3_20260918T131308Z_e7f97314,A/core50_nc/tight/R11/1/default,R11,core50_nc,1,5,18.228949977987213,10.332717344834236,0.0,10.332717344834236,False,0.5668300893530207
effectiveness_v3_20260918T131308Z_e7f97314,A/core50_nc/tight/R11/1/default,R11,core50_nc,1,6,18.401745695009595,10.433098725305172,0.0,10.433098725305172,False,0.5669624446627661
effectiveness_v3_20260918T131308Z_e7f97314,A/core50_nc/tight/R11/1/default,R11,core50_nc,1,7,16.362103647988988,9.498384533217177,0.0,9.498384533217177,False,0.5805112067227732
effectiveness_v3_20260918T131308Z_e7f97314,A/core50_nc/tight/R11/1/default,R11,core50_nc,1,8,18.151873349997913,10.50605704204645,0.0,10.50605704204645,False,0.5787863786548322
effectiveness_v3_20260918T131757Z_e471a404,A/core50_nc/tight/F11/1/default,F11,core50_nc,1,0,66.84376235801028,13.671797405229881,0.0,13.671797405229881,False,0.2045336307074509
effectiveness_v3_20260918T131917Z_45192821,A/core50_nc/tight/S0/1/default,S0,core50_nc,1,0,32.05904016099521,13.802600533439545,0.0,13.802600533439545,False,0.43053692387935394
effectiveness_v3_20260918T131917Z_45192821,A/core50_nc/tight/S0/1/default,S0,core50_nc,1,1,19.930625074979616,11.117127610690659,0.0,11.117127610690659,False,0.5577912167264041
effectiveness_v3_20260918T131917Z_45192821,A/core50_nc/tight/S0/1/default,S0,core50_nc,1,2,16.96939904798637,9.689069495594595,0.0,9.689069495594595,False,0.5709730479079236
effectiveness_v3_20260918T131917Z_45192821,A/core50_nc/tight/S0/1/default,S0,core50_nc,1,3,19.616423247993225,11.083439662033925,0.0,11.083439662033925,False,0.5650081832919143
effectiveness_v3_20260918T131917Z_45192821,A/core50_nc/tight/S0/1/default,S0,core50_nc,1,4,19.767531569988932,11.011620210338151,0.0,11.011620210338151,False,0.557055906113032
effectiveness_v3_20260918T131917Z_45192821,A/core50_nc/tight/S0/1/default,S0,core50_nc,1,5,18.25544469099259,10.351895452593453,0.0,10.351895452593453,False,0.5670579724470463
effectiveness_v3_20260918T131917Z_45192821,A/core50_nc/tight/S0/1/default,S0,core50_nc,1,6,15.49489556698245,9.032319492660463,0.0,9.032319492660463,False,0.5829222567919159
effectiveness_v3_20260918T131917Z_45192821,A/core50_nc/tight/S0/1/default,S0,core50_nc,1,7,13.839910421986133,8.189072068373207,0.0,8.189072068373207,False,0.5916997884151054
