cell_id,group,dataset,method,seed,variant,status,run_id,n_attempts,attempt_run_ids
B/splitcifar100/loose/F11/1/default,B,splitcifar100,F11,1,default,completed,effectiveness_v3_20260918T171321Z_0b9d1439,1,effectiveness_v3_20260918T171321Z_0b9d1439
B/splitcifar100/loose/S0/1/default,B,splitcifar100,S0,1,default,completed,effectiveness_v3_20260918T172038Z_15039b60,1,effectiveness_v3_20260918T172038Z_15039b60
B/splitcifar100/loose/O11/2/default,B,splitcifar100,O11,2,default,completed,effectiveness_v3_20260918T172216Z_c03835a6,1,effectiveness_v3_20260918T172216Z_c03835a6
B/splitcifar100/loose/R11/2/default,B,splitcifar100,R11,2,default,completed,effectiveness_v3_20260918T172828Z_112e26f9,1,effectiveness_v3_20260918T172828Z_112e26f9
B/splitcifar100/loose/F11/2/default,B,splitcifar100,F11,2,default,completed,effectiveness_v3_20260918T173006Z_a240ced0,1,effectiveness_v3_20260918T173006Z_a240ced0
B/splitcifar100/loose/S0/2/default,B,splitcifar100,S0,2,default,completed,effectiveness_v3_20260918T173720Z_d27c9c53,1,effectiveness_v3_20260918T173720Z_d27c9c53
B/splitcifar100/loose/S_star/2/default,B,splitcifar100,S_star,2,default,completed,effectiveness_v3_20260918T173859Z_b898a972,1,effectiveness_v3_20260918T173859Z_b898a972
D/core50_nc/tight/O11/0/latency,D,core50_nc,O11,0,latency,cuda_oom,effectiveness_v3_20260918T174034Z_368f9cd7,1,effectiveness_v3_20260918T174034Z_368f9cd7
D/core50_nc/tight/O11/1/latency,D,core50_nc,O11,1,latency,cuda_oom,effectiveness_v3_20260918T174203Z_034c0a94,1,effectiveness_v3_20260918T174203Z_034c0a94
D/core50_nc/tight/O11/2/latency,D,core50_nc,O11,2,latency,cuda_oom,effectiveness_v3_20260918T174329Z_f90e0766,1,effectiveness_v3_20260918T174329Z_f90e0766
D/core50_nc/tight/O11/0/plasticity_stability,D,core50_nc,O11,0,plasticity_stability,cuda_oom,effectiveness_v3_20260918T174454Z_1ef05ebd,1,effectiveness_v3_20260918T174454Z_1ef05ebd
D/core50_nc/tight/O11/1/plasticity_stability,D,core50_nc,O11,1,plasticity_stability,cuda_oom,effectiveness_v3_20260918T174622Z_9a630c92,1,effectiveness_v3_20260918T174622Z_9a630c92
D/core50_nc/tight/O11/2/plasticity_stability,D,core50_nc,O11,2,plasticity_stability,cuda_oom,effectiveness_v3_20260918T174753Z_645fa73d,1,effectiveness_v3_20260918T174753Z_645fa73d
D/core50_nc/tight/O11/0/memory,D,core50_nc,O11,0,memory,cuda_oom,effectiveness_v3_20260918T174918Z_0de3e1e6,1,effectiveness_v3_20260918T174918Z_0de3e1e6
D/core50_nc/tight/O11/1/memory,D,core50_nc,O11,1,memory,cuda_oom,effectiveness_v3_20260918T175044Z_0788d99f,1,effectiveness_v3_20260918T175044Z_0788d99f
D/core50_nc/tight/O11/2/memory,D,core50_nc,O11,2,memory,cuda_oom,effectiveness_v3_20260918T175213Z_3943b81b,1,effectiveness_v3_20260918T175213Z_3943b81b
E/core50_nc/io/static_off/0/default,E,core50_nc,static_off,0,default,completed,effectiveness_v3_20260918T175340Z_168b5058,1,effectiveness_v3_20260918T175340Z_168b5058
E/core50_nc/io/static_on/0/default,E,core50_nc,static_on,0,default,completed,effectiveness_v3_20260918T175908Z_5a9860d1,1,effectiveness_v3_20260918T175908Z_5a9860d1
E/core50_nc/io/orion_off/0/default,E,core50_nc,orion_off,0,default,completed,effectiveness_v3_20260918T180420Z_b082c5fa,1,effectiveness_v3_20260918T180420Z_b082c5fa
E/core50_nc/io/orion_on/0/default,E,core50_nc,orion_on,0,default,completed,effectiveness_v3_20260918T182042Z_f77f5488,1,effectiveness_v3_20260918T182042Z_f77f5488
E/core50_nc/io/static_on/1/default,E,core50_nc,static_on,1,default,completed,effectiveness_v3_20260918T183629Z_4b1778de,1,effectiveness_v3_20260918T183629Z_4b1778de
E/core50_nc/io/orion_off/1/default,E,core50_nc,orion_off,1,default,completed,effectiveness_v3_20260918T184139Z_7fd5ed3e,1,effectiveness_v3_20260918T184139Z_7fd5ed3e
E/core50_nc/io/orion_on/1/default,E,core50_nc,orion_on,1,default,completed,effectiveness_v3_20260918T185806Z_ae220d7f,1,effectiveness_v3_20260918T185806Z_ae220d7f
E/core50_nc/io/static_off/1/default,E,core50_nc,static_off,1,default,completed,effectiveness_v3_20260918T191333Z_a15e235f,1,effectiveness_v3_20260918T191333Z_a15e235f
E/core50_nc/io/orion_off/2/default,E,core50_nc,orion_off,2,default,completed,effectiveness_v3_20260918T191852Z_4739dab6,1,effectiveness_v3_20260918T191852Z_4739dab6
E/core50_nc/io/orion_on/2/default,E,core50_nc,orion_on,2,default,completed,effectiveness_v3_20260918T193516Z_4583bff6,1,effectiveness_v3_20260918T193516Z_4583bff6
E/core50_nc/io/static_off/2/default,E,core50_nc,static_off,2,default,completed,effectiveness_v3_20260918T195035Z_c7ac5492,1,effectiveness_v3_20260918T195035Z_c7ac5492
E/core50_nc/io/static_on/2/default,E,core50_nc,static_on,2,default,completed,effectiveness_v3_20260918T195602Z_f026e1f7,1,effectiveness_v3_20260918T195602Z_f026e1f7
F/core50_nc/loose/agem_static/0/default,F,core50_nc,agem_static,0,default,completed,effectiveness_v3_20260918T200116Z_50105d6d,1,effectiveness_v3_20260918T200116Z_50105d6d
F/core50_nc/loose/agem_adaptive_ewc/0/default,F,core50_nc,agem_adaptive_ewc,0,default,completed,effectiveness_v3_20260918T200827Z_d913a753,1,effectiveness_v3_20260918T200827Z_d913a753
F/core50_nc/loose/agem_adaptive_ewc/1/default,F,core50_nc,agem_adaptive_ewc,1,default,completed,effectiveness_v3_20260918T202219Z_9d416150,1,effectiveness_v3_20260918T202219Z_9d416150
F/core50_nc/loose/agem_static/1/default,F,core50_nc,agem_static,1,default,completed,effectiveness_v3_20260918T203615Z_3b1672b7,1,effectiveness_v3_20260918T203615Z_3b1672b7
F/core50_nc/loose/agem_static/2/default,F,core50_nc,agem_static,2,default,completed,effectiveness_v3_20260918T204329Z_8162adb1,1,effectiveness_v3_20260918T204329Z_8162adb1
F/core50_nc/loose/agem_adaptive_ewc/2/default,F,core50_nc,agem_adaptive_ewc,2,default,completed,effectiveness_v3_20260918T205037Z_c7fe7b8c,1,effectiveness_v3_20260918T205037Z_c7fe7b8c
G/core50_nc/tight/O11/0/thr_half,G,core50_nc,O11,0,thr_half,cuda_oom,effectiveness_v3_20260918T210433Z_552578ab,1,effectiveness_v3_20260918T210433Z_552578ab
G/core50_nc/tight/O11/1/thr_half,G,core50_nc,O11,1,thr_half,cuda_oom,effectiveness_v3_20260918T210602Z_fc717bb2,1,effectiveness_v3_20260918T210602Z_fc717bb2
